48.6	13.7	9.8	11.8	2.4	92.9	19.6	3.1	100	3.5	39.6	3.5	49.8	3.1	3.9	4.3	87.8	16.1	20.4	3.1		0
5.5	6.3	2	9.8	8.6	5.1	3.1	8.6	5.9	37.6	5.5	61.9	95.7	74.5	22.3	38	23.5	5.5	9.4	8.2		1
7.9	3.1	22.7	12.1	2	3.1	2.4	2.4	2.4	3.1	29	30.6	31.7	8.6	14.1	18.4	15.3	29.4	2.4	2		2
2.8	23.1	88.6	21.2	3.1	2.4	3.9	3.9	5.1	8.6	9.4	50.6	77.2	93.7	74.1	55.3	72.9	47.1	7.1	4.3		3
3.1	2.4	5.5	5.5	4.7	6.3	13.7	70.6	5.1	8.6	100	54.1	100	100	77.6	69.8	18.4	2.8	2	8.6		4
2.4	3.1	4.7	9	20	98.8	99.2	10.2	97.7	68.6	88.2	100	61.5	90.1	100	56.8	100	5.9	5.1	1.6		5
3.1	4.7	8.2	14.5	99.2	100	18	100	73.3	69.4	100	83.5	68.2	38	25.1	13.7	8.2	47	100	57.6		6
7.8	60.4	61.9	94.1	100	88.6	33.3	64.7	13.3	5.1	12.9	60	7.8	18	29.8	97.2	65.4	44.7	76.4	9.4		7
98.4	18.8	27.4	33.3	50.9	10.6	6.7	4.7	3.9	3.1	4.3	43.5	10.6	44.3	58.4	40	42.7	27.4	18.8	21.5		8
16.5	7.1	2.8	2.4	5.5	4.3	40.4	31	3.9	28.2	11.8	9	35.7	29.8	25.5	29.8	8.2	99.9	33.7	15.7		9


47	14.1	12.2	13.3	2	93.3	12.2	3.9	100	3.9	42.7	4.3	55.3	3.5	2.4	2.4	91.3	15.3	17.6	2.4		0
7.1	3.5	2.4	8.6	7.8	4.3	4.3	12.2	6.3	34.9	5.5	61.1	97.3	71.7	16.1	38.8	23.5	5.5	9.8	8.2		1
6.3	3.9	25.5	11	2.4	3.1	2	3.1	3.5	3.9	32.2	33.7	33.7	8.2	17.3	18	16.9	34.1	3.1	3.1		2
2.8	13.7	85.8	32.9	3.9	2.4	3.1	3.1	5.5	9.8	9.8	52.1	78	99.6	78.4	54.9	72.1	40.4	6.3	5.1		3
2.4	2.4	6.3	4.7	6.3	7.4	14.9	73.7	6.7	7.8	100	55.2	100	100	76.8	70.6	18	3.5	3.9	10.2		4
2	3.1	3.5	8.6	16.1	100	14.1	9.4	96.1	68.6	89	100	60.3	92.5	100	55.6	100	6.7	4.7	2.8		5
3.5	5.1	6.7	16.8	99.2	100	16.8	100	71.3	81.9	100	84.7	66.6	37.6	24.7	13.7	7.8	45.4	100	63.1		6
5.5	60.4	62.7	97.7	61.1	78.4	25.1	62.3	12.9	5.9	11.4	63.5	6.7	16.1	30.5	97.6	65.8	41.1	79.1	9.4		7
100	16.8	26.3	31.8	49.8	8.2	6.3	5.1	3.1	3.1	5.5	44.3	9.8	46.6	63.5	41.5	45.1	29.4	22.3	22.7		8
14.9	5.5	5.1	4.3	5.9	3.9	43.5	67.4	3.9	32.1	11.8	7.5	34.1	32.1	11.4	31.7	9	99.9	33.7	14.9		9


45.5	14.5	10.2	14.5	4.7	95.3	10.2	5.1	100	4.7	44.3	4.3	61.5	3.9	3.1	3.9	92.9	15.7	17.2	3.9		0
4.7	5.1	3.9	9.8	6.3	3.1	5.9	12.5	5.1	34.5	6.3	60.7	96.1	74.1	17.2	39.6	25.9	5.1	11.4	7.4		1
7.5	2.8	34.1	9.8	3.1	3.1	3.9	3.9	3.9	5.1	31.8	32.9	38.4	9.8	14.9	21.6	17.6	32.5	3.9	2.4		2
3.5	13.3	93.7	36.1	4.7	3.1	4.3	3.1	6.7	9	13.3	51.7	77.6	100	77.2	55.3	70.9	48.6	7.1	5.9		3
3.9	2.4	4.7	7.1	6.3	6.7	14.5	72.5	6.7	7.8	100	55.2	100	100	80.4	71.7	18.8	4.3	3.1	10.2		4
2.4	2.4	3.1	9.4	18.4	99.2	13.3	9.8	97.3	68.6	89.8	100	63.1	93.7	100	55.6	100	6.3	5.5	3.1		5
3.5	5.9	7.5	14.9	98.4	100	16.8	100	67.8	77.2	100	85.8	68.2	38	23.9	15.7	8.2	45.8	100	60.7		6
5.1	58	67.4	95.7	63.9	81.5	25.1	61.1	12.9	5.9	13.3	69	9.8	17.6	29	98.4	64.7	41.5	77.2	11		7
100	20.4	30.2	33.3	49.8	9.4	6.7	6.7	4.3	4.7	5.9	44.3	9.8	46.2	63.5	38.8	47.8	29	23.1	20.8		8
14.5	7.1	4.7	4.3	5.9	4.3	42.7	77.6	3.9	33.7	13.3	9.8	37.6	32.9	11	34.1	9	99.9	34.9	14.9		9


43.9	14.9	9.4	12.9	2.4	92.5	9	3.9	100	3.9	44.3	3.1	63.1	3.1	2.4	3.1	90.5	14.1	19.6	2		0
5.5	4.7	2.4	4.7	9.4	4.3	5.1	10.6	5.1	35.3	4.7	58.4	95.3	74.5	18.4	32.9	23.5	4.7	10.6	5.1		1
7.1	2	28.2	12.5	2.4	2.4	2.4	2.8	3.1	2.4	30.2	32.5	39.6	7.8	14.5	19.6	12.5	35.7	2.4	1.2		2
2.4	11.8	89	38.8	3.9	2.4	3.9	2.4	5.5	6.7	10.6	48.6	76.1	97.2	75.6	49.8	69.8	45.9	4.3	4.3		3
2	2	5.5	4.7	4.3	6.3	13.7	72.5	5.5	7.1	100	51.3	100	100	78	67	17.6	3.5	2.4	8.2		4
2	2.4	2.4	7.4	16.5	100	85.5	11	97.7	65.1	88.6	100	60.7	90.9	100	56	100	5.1	4.7	2		5
3.1	4.3	6.7	16.4	98.4	100	14.1	100	65.9	61.9	100	83.1	67	36.8	21.9	14.9	8.2	44.7	100	60		6
7.5	60	61.5	96.5	100	72.9	20.8	59.2	10.6	4.7	11.4	66.2	7.8	16.1	29.4	98	67	39.2	74.1	9.8		7
100	19.6	27.8	33.3	49.4	8.6	4.3	3.9	3.9	3.1	5.1	46.3	9.4	43.1	60.4	39.6	44.3	32.1	20	19.2		8
14.9	4.7	2.4	3.5	4.3	2.4	41.5	31.4	2.4	33.3	12.5	8.2	36.4	30.2	9	27	8.2	99.9	34.5	15.7		9


41.6	14.1	11	12.2	3.9	89.8	14.1	5.1	100	4.3	41.2	3.9	67.4	3.1	2.4	2.8	90.2	14.1	20	2		0
5.5	5.1	3.5	8.6	9	3.5	2.4	9.4	6.3	37.2	5.1	59.6	96.1	74.9	17.6	34.5	25.5	4.3	9.8	4.7		1
7.9	2.8	30.6	12.5	2.4	2.4	2.4	2.4	3.1	2.4	30.6	34.9	33.7	7.8	16.9	20.8	15.7	31.3	3.1	2		2
2	10.2	87	40.4	3.9	3.1	3.1	2.4	5.5	8.2	11.4	50.6	74.5	99.2	77.6	54.1	69.4	46.7	5.1	4.3		3
2.4	2.8	5.5	5.5	5.5	6.7	12.2	70.2	5.9	7.5	100	54.5	100	100	80.8	68.2	16.8	2.8	2	10.6		4
2	2.4	3.5	6.7	16.1	98.8	94.9	11	96.9	63.5	87.8	99.6	59.2	90.5	100	58	100	5.9	4.7	2.8		5
3.5	5.5	6.7	16.1	99.2	100	17.6	100	65.9	60.4	100	82.3	65.9	37.6	23.5	14.1	9.4	44.3	100	60		6
9	59.6	60.7	96.5	100	81.1	20.4	64.3	10.2	4.7	13.3	70.5	9	16.8	29	96.8	65.4	41.5	77.2	9.4		7
100	18	27.8	32.5	49.8	9.8	5.5	3.1	3.9	3.1	4.3	45.1	10.6	44.3	61.5	38	45.8	28.2	20	20.4		8
16.5	5.9	4.7	3.5	5.5	3.1	43.1	32.1	3.1	34.1	12.9	9.4	33.7	25.1	8.2	29.4	8.2	99.9	31.4	13.7		9


39.2	18.4	12.2	14.1	2.4	92.9	7.1	3.1	100	3.9	11	10.6	3.9	3.1	2.4	3.5	92.9	15.7	23.9	3.1		0
5.1	5.9	2.4	7.1	8.2	3.1	3.9	12.2	5.9	35.3	4.3	36.4	95.3	79.2	27	35.6	29.8	12.9	27	5.9		1
5.9	3.1	25.1	11.4	3.1	3.9	2.4	3.1	3.1	4.7	33.7	31.4	37.2	8.2	17.7	29.4	12.5	37.2	4.3	14.9		2
2.8	10.6	94.4	35.3	3.1	3.1	3.1	3.1	5.9	8.6	10.2	60	42.7	100	84.6	60	71.7	54.9	6.3	5.5		3
2.4	3.9	7.1	5.9	5.9	7.5	11	69.4	5.9	7.5	100	58.8	100	100	72.5	71	14.1	4.7	3.1	12.5		4
3.1	2.4	3.1	9.4	17.6	98.8	13.3	9.8	98	64.7	84.3	100	29	93.3	100	60.7	100	5.9	5.9	2		5
3.5	4.7	6.3	15.3	100	97.6	18	100	68.6	14.5	100	89.4	70.2	42.3	23.9	20	9	39.6	100	61.5		6
9.8	58.4	61.1	95.3	100	78.4	17.2	100	100	5.9	12.2	12.2	7.1	10.2	30.2	99.9	69.8	47.8	80.3	10.6		7
100	21.5	25.5	35.7	58.4	51.7	35.3	9	18.8	12.5	6.7	51.7	12.1	46.6	64.3	41.9	50.9	34.9	25.1	22.3		8
20.8	36.5	44.7	33.7	6.3	5.5	78.4	90.5	5.9	100	18.8	10.6	38.4	28.2	3.9	33.7	7.4	99.9	41.5	16.1		9


